time,mark
0.760694606,1
2.162301222,1
2.756017842,1
4.067693066,1
4.609623242,1
5.114206143,1
6.57196498,1
8.743807829,1
9.356503417,1
12.60975657,1
12.97639052,1
15.61513874,1
15.7469046,1
16.43399936,1
21.83487624,1
22.53672001,1
23.27411032,1
24.93829954,1
27.28666807,1
27.51356245,1
27.64745658,1
27.77705719,1
28.42148166,1
28.83289522,1
29.57709182,1
31.22021062,1
31.35365005,1
31.40468424,1
31.62492491,1
31.80205635,1
32.49649252,1
33.2794126,1
33.36944102,1
33.63677375,1
33.68795435,1
33.82799958,1
33.96280825,1
34.38300808,1
34.67993257,1
36.4599124,1
36.75884829,1
36.90006577,1
36.90429368,1
37.19274142,1
37.82138653,1
38.4666773,1
39.11868999,1
39.70547899,1
40.97751318,1
41.21022854,1
41.38649952,1
41.4205733,1
42.25886701,1
45.10152609,1
45.63032983,1
45.90271596,1
48.45456279,1
52.1581139,1
52.29142834,1
52.41774339,1
52.56854635,1
52.93054419,1
53.28983929,1
53.47332001,1
53.78820919,1
54.88717397,1
55.34327953,1
55.51469797,1
57.09731966,1
57.42797774,1
57.6820837,1
57.92006423,1
62.64148094,1
63.60429427,1
64.20271214,1
64.23246961,1
64.31103136,1
64.46335327,1
65.68768169,1
66.04332065,1
66.51009569,1
67.26153681,1
67.52556069,1
68.39191189,1
68.50395912,1
68.54815688,1
68.65701545,1
69.09651168,1
69.18088719,1
69.24579169,1
69.63076336,1
71.74688114,1
72.28874479,1
76.66855488,1
79.56802456,1
80.33279915,1
80.77970002,1
81.94737388,1
82.5059158,1
83.19781976,1
84.83418594,1
91.40601827,1
91.95237212,1
92.09279524,1
93.18137074,1
93.28084078,1
93.95843718,1
94.2251855,1
94.54062673,1
94.64958197,1
96.020046,1
96.09140962,1
96.14946965,1
97.86496514,1
98.85334592,1
99.44644198,1
102.9232455,1
103.7881617,1
103.8906629,1
105.4974741,1
105.7635012,1
105.8464127,1
106.3909624,1
106.5044762,1
106.6181624,1
106.9588384,1
107.1589484,1
107.3643086,1
107.5928779,1
110.3679833,1
111.502984,1
113.02157,1
116.0033734,1
116.2648895,1
119.1310216,1
120.3596428,1
120.4473143,1
121.845197,1
122.661786,1
125.492317,1
126.1629267,1
127.8086894,1
128.6579347,1
129.0711116,1
129.2139146,1
130.7558543,1
134.6542275,1
136.0286713,1
137.8594206,1
138.284859,1
138.6598572,1
139.4673134,1
139.8839776,1
140.2302901,1
140.5399962,1
140.7875926,1
142.7285597,1
143.2098808,1
144.2377183,1
148.628209,1
148.6627941,1
149.502304,1
150.0243814,1
150.0265457,1
150.7980604,1
151.5457946,1
151.6135507,1
151.7090753,1
151.7326132,1
156.9150156,1
157.0609129,1
157.3961244,1
157.5407512,1
158.1960597,1
158.6041546,1
158.8912145,1
158.9878658,1
160.0962742,1
160.3215569,1
161.2441648,1
161.4863707,1
162.7142992,1
163.2066778,1
163.2712969,1
163.5423181,1
164.4150091,1
168.9240265,1
172.3723647,1
172.433996,1
172.7067838,1
172.8661475,1
172.941435,1
173.2901577,1
173.9025714,1
174.4248535,1
174.5546002,1
177.0461757,1
182.1572874,1
184.6358931,1
187.9839019,1
188.5343765,1
189.1869087,1
194.0751645,1
194.1331093,1
196.5705148,1
199.184384,1
