aggressiveness,mean_total_cost,mean_shortfall
0.504858125,4123.605316625,4064.5625
0.6748096666666668,3684.1565294444445,3612.75
0.839409875,3862.906769875,3769.75
1.0668158888888888,4069.5890034444446,3946.1388888888887
1.2331131,4120.046203399999,3978.95
1.3950551428571427,3213.4814348571426,3078.6428571428573
1.5814645,4184.9688694,4005.9
1.7559136000000002,3763.7141256000004,3566.7
1.9250473333333333,4781.843237555555,4530.083333333333
2.1471405454545454,3123.067962363636,2932.409090909091
2.2990698571428574,2984.486898714286,2784.9821428571427
